id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H20_economy_1,both,['sistemas'],['estructuras'], entre los sistemas de salud nacionales las estructuras,"prioridades que hay que establecer, teniendo en cuenta las grandes variaciones entre los sistemas de salud nacionales las estructurasde investigación, las prácticas clínicas y los procedimientos terapéuticos. Sólo"
H20_economy_2,both,"['genética', 'comportamiento']",['conocimiento'], entre genética y comportamiento un conocimiento,entre efectos genéticos y ambientales. Preveo un estrechamiento de los lazos entre genética y comportamiento un conocimientomucho más preciso de las funciones cerebrales y una adopción gradual de
H20_economy_3,both,['bonobos'],['primates'], entre los bonobos buen seguro los primates,Las cópulas madre-hijo se encuentran reprimidas en todos los primates. Incluso entre los bonobos buen seguro los primatesde mayor actividad sexual sobre la faz de la Tierra- semejante acoplamiento
H20_economy_4,both,"['verbal', 'espacial', 'competencia verbal']",['gen'], entre la competencia verbal y la espacial un gen,". Puesto que las medidas de "" g "" derivan de intercorrelaciones entre la competencia verbal y la espacial un genque está ligado a estos dos caracteres desempeñar alguna función en la"
H20_economy_5,both,['fuerza natatoria'],['velocidad'], entre fuerza natatoria velocidad,de escape relativa» ha surgido un método para examinar la relación entre fuerza natatoria velocidady patrón de movimiento. El descubrimiento de que los espermatozoides que
H20_economy_6,none,[None],[None], entre los negros una cifra,", se halla implicada en el 20 por ciento de las muertes entre los negros una cifraque dobla la de los blancos. La explicación al uso de"
H20_economy_7,left,"['descendientes', 'africanos', 'descendientes de africanos']",[None], entre descendientes de africanos un índice,índices superiores a 25. En el estudio desarrollado por los autores entre descendientes de africanos un índicemedio bajo de una población se correspondía con una tasa baja de
H20_economy_8,both,"['mutaciones', 'cáncer']",['identificación'], entre las mutaciones y el cáncer la identificación,"las anomalías genéticas asociadas con el cáncer. Examinaremos también las relaciones entre las mutaciones y el cáncer la identificaciónde los genes que, cuando matan, inician la transformación de"
H20_economy_9,left,['proteínas'],[None], entre proteínas transitorias llamadas,"de entrar en la fase S Estos puntos de control implican interacciones entre proteínas transitorias llamadasciclinas, y quinasas, que añaden grupos fosfato a las proteínas"
H20_economy_10,both,['genes'],['neurobiología'], entre genes neurobiología,integrado del estudio del síndrome de Williams - que busca la interrelación entre genes neurobiologíay comportamiento- puede convertirse en un modelo para explorar la forma en
H20_economy_11,both,['ramas'],['enlaces'], entre ramas enlaces,y los cloroplastos. Incluye también una extensa trama de enlaces transversales entre ramas enlacesque se han distribuido al azar para simbolizar el alto grado de
