Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00004-plain,obra y los salarios reales. El crecimiento también tiende a reducir,"la_ART_el pobreza_NC_pobreza y_CC_y la_ART_el desigualdad_NC_desigualdad,_CM_, incluso_ADV_incluso entre_PREP_entre hombres_NC_hombre",y mujeres. En los países que en la actualidad tienen un,right,[None],['hombres'], la pobreza y la desigualdad incluso entre hombres
1_e00004-plain,no calificados de los Estados Unidos cuyos salarios vienen disminuyendo desde hace,"decenas_NC_decena de_PREP_de años_NC_año,_CM_, incluso_ADV_incluso cuando_CSUBX_cuando los_ART_el sueldos_NC_sueldo","de los graduados universitarios continúan aumentando. Más importante aún, las",left,['años'],[None], decenas de años incluso cuando los sueldos
1_e00004-plain,de obra suelen incluir otras destinadas a permitir que el proceso de,"eliminación_NC_eliminación de_PREP_de puestos_NC_puesto de_PREP_de trabajo_NC_trabajo,_CM_, incluido_VLadj_incluir el_ART_el despido_NC_despido","masivo de empleados públicos, siga su curso. En muchos países",left,['trabajo'],[None], eliminación de puestos de trabajo incluido el despido
1_e00032-plain,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,establecido en la correspondiente circular. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,del ejercicio de la opción. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
