id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H19_economy_1,left,"['muchos', 'síntomas', 'síntomas físicos']",[None], muchos síntomas físicos tales como dificultades,"Guze y Clayton, 1972). Las crisis de angustia conllevan muchos síntomas físicos tales como dificultadesrespiratorias, sudor frío, irregularidades en los latidos cardíacos, vértigo"
H19_economy_2,right,[None],['mutaciones'], algunos casos tales mutaciones,se consideran como un rasgo común de todos los cánceres. En algunos casos tales mutacionesinciden en la línea germinal y se heredan. Muy a menudo
H19_economy_3,both,"['enfermedades', 'enfermedades comunes']",['cáncer'], muchas enfermedades comunes tal como el cáncer,"vez más que las fallas genéticas también contribuyen a la aparición de muchas enfermedades comunes tal como el cáncer, enfermedades del corazón y la diabetes. La necesidad de comprender"
H19_economy_4,left,['menos'],[None], mucho menos su valor como tal persona,", no la inteligencia de esa persona en sentido general, y mucho menos su valor como tal persona), las discusiones acerca de la base genética del CI se"
H19_economy_5,both,"['muchos', 'genes', 'vegetales', 'codifican', 'atributos']",['resistencia'], muchos genes vegetales que codifican atributos tales como resistencia,"influencia especialmente fuerte en una determinada característica. En consecuencia, hay muchos genes vegetales que codifican atributos tales como resistenciaa enfermedades, a estrés o a herbicidas, y proteínas de"
H19_economy_6,right,[None],['porciones'], alguna de tales porciones,existe una probabilidad determinada de que el gen deseado se encuentre en alguna de tales porciones. Si se obtienen las colonias suficientes se puede estar casi seguro
H19_economy_7,right,[None],['antígenos'], algunos de tales antígenos,"cáncer de piel, el melanoma maligno. Con la descripción de algunos de tales antígenos, empieza a vislumbrarse la posibilidad de sintetizar una vacuna que proteja"
H19_economy_8,right,[None],['células'], algunas de tales células,"para producir grandes cantidades de un factor de crecimiento nervioso. Implantaron algunas de tales célulasasí manipuladas en ratas maduras, eligiendo como blanco una región crucial"
H19_economy_9,right,[None],['versiones'], Algunas de tales versiones,virus fabrican proteínas que parecen moléculas implicadas en la respuesta inmunitaria. Algunas de tales versionesvíricas desarman las defensas y salvan de la destrucción al virus.
H19_economy_10,right,[None],['alteraciones'], algunas de tales alteraciones,"cuando encuentra grupos humanos cuyo sistema inmunitario ya se había enfrentado a algunas de tales alteraciones. Según parece, el tipo B no conoce otra vía de"
