Reference	LeftContext	Pivot	RightContext
1_m00064-plain	decir, el citoplasma del axón). Este sistema recibe el	nombre_NC_nombre de_PREP_de transporte_NC_transporte	axoplasmático, proceso activo por el cual los materiales son propulsados a
1_m00064-plain	antidiurética reduce la producción de orina). No obstante, el	nombre_NC_nombre de_PREP_de vasopresina_NC_vasopresina	es el que los fisiólogos utilizan con más frecuencia. La vasopresina
1_m00201-plain	moléculas de señalización. Redes y andamios La proteína que responde al	nombre_NC_nombre de_PREP_de PSD-95_NP_PSD-95	, bien estudiada, opera fundamentalmente en las neuronas implicadas en el
1_m00213-plain	generar estos ratones listos - una cepa a la que dimos el	nombre_NC_nombre de_PREP_de Doogie_NP_Doogie	- confirmábamos una vieja teoría de más de 50 años sobre los
1_m00213-plain	en ese lugar. La reducción, también duradera, recibe el	nombre_NC_nombre de_PREP_de depresión_NC_depresión	a largo plazo (DLP); no hemos de confundirla con
1_m00270-plain	tumor. Las formas mutantes de los protooncogenes se conocen con el	nombre_NC_nombre de_PREP_de oncogenes_NC_oncogén	. Consideraremos algunos ejemplos de cómo las mutaciones en genes supresores de
1_m00293-plain	vivir entonces hasta 10. 000 personas. Por tanto, el	nombre_NC_nombre de_PREP_de Eva_NP_Eva	puede despistar -no es la fuente última de todos los linajes ordinarios
1_m00296-plain	imaginar que la primera mitad de la secuencia de ADN es el	nombre_NC_nombre de_PREP_de pila_NC_pila	de la ciudad, y la segunda, el apellido. Así
1_m00296-plain	pues, el apellido de Valencia es GCAG, mientras que el	nombre_NC_nombre de_PREP_de Barcelona_NP_Barcelona	es TCGG. A continuación, le asigné a cada vuelo directo
1_m00296-plain	obtenido por concatenación del apellido de la ciudad de origen con el	nombre_NC_nombre de_PREP_de la_ART_el ciudad_NC_ciudad	de destino. En el ejemplo del recuadro ilustrado, el número
1_m00296-plain	partida (GCAG para Valencia) y el complemento Watson-Crick del primer	nombre_NC_nombre de_PREP_de la_ART_el ciudad_NC_ciudad	final (GGCT para Zaragoza). Los dos cebadores actuaban concertadamente
1_m00296-plain	que favorecían el emparejamiento Watson-Crick. Sólo las moléculas que incluyeran el	nombre_NC_nombre de_PREP_de la_ART_el ciudad_NC_ciudad	deseada (Barcelona) se trabarían con las sondas. Coloqué después
1_m00296-plain	, mientras vertía fuera la fase líquida cuyas moléculas no contenían el	nombre_NC_nombre de_PREP_de la_ART_el ciudad_NC_ciudad	deseada. Añadí después nuevo disolvente y retiré el imán, para
1_m00296-plain	«cebador» - la ristra GGCT, representativa del complemento del	nombre_NC_nombre de_PREP_de Zaragoza_NP_Zaragoza	- se engarza en el extremo derecho de una hebra de ADN
1_m00296-plain	afinidad Watson-Crick, las sondas capturan hebras de ADN que contienen el	nombre_NC_nombre de_PREP_de Barcelona_NP_Barcelona	(TCGGACTC). Acto seguido, se procede a eliminar las
1_m00296-plain	se procede a eliminar las hebras de ADN que no contengan el	nombre_NC_nombre de_PREP_de Barcelona_NP_Barcelona	. El proceso se repite con moléculas sonda que codifiquen el complementario
1_m00296-plain	después por concatenación del apellido de la ciudad de origen con el	nombre_NC_nombre de_PREP_de la_ART_el ciudad_NC_ciudad	de destino (a la derecha, abajo). Los nombres
1_m00305-plain	. [1] Por razones de brevedad, el resto de	designaciones_NC_designación del_PDEL_del cariotipo_NC_cariotipo	para las anomalías que no afectan los cromosomas sexuales indicarán hombre afectado
1_m00306-plain	de Santo Tomas de Brno, en 1843. Allí tomó el	nombre_NC_nombre de_PREP_de Gregor_NP_Gregor	y recibió apoyo en sus estudios e investigaciones durante el resto de
